Certamen;Inter./Nacional;Fecha;Cervecería;Cerveza Ganadora;ESTILO;Medalla;Ciudad
Copa Latinoamericana de Cervezas Artesanales;INTERNACIONAL;octubre 2025;Kross;Kross Dunkler Bock;;;
Copa Latinoamericana de Cervezas Artesanales;INTERNACIONAL;octubre 2025;Kross;Kross Imperial Stout;;;
Copa Latinoamericana de Cervezas Artesanales;INTERNACIONAL;octubre 2025;Kross;Kross Pils;;;
Copa Latinoamericana de Cervezas Artesanales;INTERNACIONAL;octubre 2025;Kross;Kross Stout;;;
Copa Latinoamericana de Cervezas Artesanales;INTERNACIONAL;octubre 2025;NYD BIER;Vacilona;;;
Copa Latinoamericana de Cervezas Artesanales;INTERNACIONAL;octubre 2025;Prócer;DEDOS FLOJOS;;;
Copa Latinoamericana de Cervezas Artesanales;INTERNACIONAL;octubre 2025;Prócer;HA-HA! NELSON;;;
Copa Latinoamericana de Cervezas Artesanales;INTERNACIONAL;octubre 2025;Sobredosis;Sobredosis Amber Ale;;;
Copa Latinoamericana de Cervezas Artesanales;INTERNACIONAL;octubre 2025;Terroir;Tucúquere;;;
Copa Latinoamericana de Cervezas Artesanales;INTERNACIONAL;octubre 2025;Trippy;NO RULES;;;
Copa Latinoamericana de Cervezas Artesanales;INTERNACIONAL;octubre 2025;Tübinger;Wharakiri;;;
Copa Latinoamericana de Cervezas Artesanales;INTERNACIONAL;octubre 2025;Von Menzel Colaboración con Dover, Campera;EL HOYO DEL QUEQUE;;;
Copa Latinoamericana de Cervezas Artesanales;INTERNACIONAL;octubre 2025;Zigurat;paint it black;;;
Copa Mitad del Mundo - México;Internacional;junio 2025;Agua&Sol;La Maravilla Es De San Vi;Sour Fruit;Bronce;San Vicente de Tagua Tagua
Copa Mitad del Mundo - México;Internacional;junio 2025;Bordelago;Zorro Patagónico;Scottish Export;Oro;Puerto Varas
Copa Mitad del Mundo - México;Internacional;junio 2025;Del Puerto;Session IPA;Session IPA;Bronce;Valparaíso
Copa Mitad del Mundo - México;Internacional;junio 2025;IGEL;Oatmeal Stout;Oatmeal Stout;Oro;Villarrica
Copa Mitad del Mundo - México;Internacional;junio 2025;Luthier;Desierto;Kölsch;Plata;Los Angeles
Copa Mitad del Mundo - México;Internacional;junio 2025;Mad Charlie's;American Amber Ale;Amber Ale;Oro;Valdivia
Copa Mitad del Mundo - México;Internacional;junio 2025;Nothus Brew. Co.;Cero Caña;Session IPA s/Alcohol;Bronce;Valdivia
Copa Mitad del Mundo - México;Internacional;junio 2025;Nothus Brew. Co.;Lillo Stout;Coffee Stout;Oro;Valdivia
Copa Mitad del Mundo - México;Internacional;junio 2025;Puesco;La Más Lager;Czech Pale;Oro;Curarrehue
Copa Mitad del Mundo - México;Internacional;junio 2025;Tamango Brebajes;Entre Caníbales;Czech Pils;Bronce;Santiago
Copa Mitad del Mundo - México;Internacional;junio 2025;Tamango Brebajes;Pantera;Imperial Stout;Plata;Santiago
Copa Mitad del Mundo - México;Internacional;junio 2025;Trippy;Mokatrip;Coffee Stout;Plata;San Pedro de la Paz
Copa Mitad del Mundo - México;Internacional;junio 2025;Tropera;Guadalina;Blonde Ale;Bronce;Puerto Varas
Copa Mitad del Mundo - México;Internacional;junio 2025;Tropera;Ranita de Darwin;Double IPA;Oro;Puerto Varas
La Pola Dorada 2025 - Colombia;Internacional;septiembre 2025;Ferisa;Belgian Blond;Belgian Blond Ale;Plata;
La Pola Dorada 2025 - Colombia;Internacional;septiembre 2025;Ferisa;BGSA;Belgian Golden Strong Ale;Plata;
La Pola Dorada 2025 - Colombia;Internacional;septiembre 2025;Nogg;Make it better;Hasy Ipa;Bronce;
La Pola Dorada 2025 - Colombia;Internacional;septiembre 2025;Puesco;La culpa del gringo;California Common;Bronce;
La Pola Dorada 2025 - Colombia;Internacional;septiembre 2025;Puesco;La Mas Lager;Czech Dark Lager;Oro;
La Pola Dorada 2025 - Colombia;Internacional;septiembre 2025;Tropera;Patagonia Multicolor;Belgian Blond Strong Ale;Plata;
World Beer Awards - Reino Unido;Internacional;agosto 2025;Kross;Stout;Oatmeal Stout;World’s Best;Curacaví
World Beer Awards - Reino Unido;Internacional;agosto 2025;Soko's;Cosmic Walk;Belgian Strong;World’s Best;Requinoa
World Beer Awards - Reino Unido;Internacional;agosto 2025;Tübinger;Irish Red Ale;Irish Red Ale;World’s Best;Pirque
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;860 Km2;Alerce;Dark;Oro Country Winner;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Agua & Sol;La Maravilla Es De Sanvi;Flavoured Wild & Sour Beer;Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Altamira;Nitro Imperial Mocca Stout;Flavoured Stout & Porter;Bronze;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Altamira;Low Carb Lager;Light;Bronze;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Altamira;Amber Ale;Amber (Incl. Irish Reds);Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Altamira;Banana Pancake;Bavarian Style Hefeweiss;Oro Country Winner;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Austral;Calafate;Fruit & Vegetable;Bronze;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Austral;Yagan Dark;Dark Lager;Oro Country Winner;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Austral;Torres Del Paine;Seasonal: Maibock/Helles Bock;Bronze;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Austral;Lager;International Lager;Bronze;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Becker;International Lager;International Lager;Oro Country Winner;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Bundor;Belzeboo;Imperial Stout;Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Cuello Negro;Stout;Imperial Stout;Oro Country Winner;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Hernando De Magallanes;Puma;Belgian Style Triple;Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Hernando De Magallanes;Stout;Stout (Incl. Dry and Irish);Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Hernando De Magallanes;Porter;Strong Porter;Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Kält;Amber Ale;Amber (Incl. Irish Reds);Bronze;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Kross;Berries;Fruit & Vegetable;Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Kross;Pils;Hoppy Pilsener;Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Kross;Golden;English Style Pale Ale;Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Kross;Golden;Golden Ales;Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Kross;Negra;Stout (Incl. Dry and Irish);Bronze;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Leyendas De Origen;Trauco;Amber/Dark Kellerbier & Rotbier;Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Leyendas De Origen;Pincoya;Hoppy Pilsener;Bronze;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Loa;Minga Loca;American Style IPA;Oro Country Winner;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Loa;Entrenubes;Helles/Münchner;Bronze;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Loco Patrón;Muerte Súbita;American Style Pale Ale;Oro Country Winner;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Puesco;La Más Lager;Dark Lager;Bronze;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Soko's;Cosmic Walk;Belgian Style Strong;Oro Country Winner;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Soko's;Be Hoppy;Golden Ales;Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Tamango Brebajes;Malibu;Imperial/Double/Dipa;Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Tamango Brebajes;Corta Corriente;Milkshake IPA/New England IPA;Oro Country Winner;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Tamango Brebajes;Humboldt;Classic Pilsener;Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Tamango Brebajes;Entre Caníbales;Czech Style Pale;Bronze;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Tamango Brebajes;Tamango Helles;Helles/Münchner;Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Tamango Brebajes;The Green Room;Hoppy Pilsener;Oro Country Winner;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Tamango Brebajes;Sunset;Amber (Incl. Irish Reds);Silver;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Tamango Brebajes;Pantera;Imperial Stout;Bronze;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Tübinger;Tübinator;Strong;Oro Country Winner;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Tübinger;Irish Red Ale;Amber (Incl. Irish Reds);Oro Country Winner;
World Beer Awards. Fase local - CHILE;Nacional;mayo 2025;Von Menzel;La Chupilca Del Diablo;Flavoured Stout & Porter;Silver;
Copa Guaraní de Cervezas - Paraguay;correo;agosto 2025;;;;;
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;Perro Ovejero;Oud Bruin;Oud Bruin;;Coyaique
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;Nielsen Brewery;Alicia Molina;Spice herb or vegetable Punta Arenas;;Punta Arenas
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;Maltok;New Zealand Pilsner;New Zealand Pilsner;;Puerto Natales
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;Maltok;Experimental Colaborativa: Delito Beer Co, Vericcio;Experimental Beer;;Puerto Natales
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;Maltok;Belgian dark strong ale;Belgian dark strong ale;PLATA;Puerto Natales
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;Lifer;Spiece herb or vegetable;Spiece herb or vegetable;BRONCE;
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;Lifer;Specialty Wood Aged Beer;Specialty Wood Aged Beer;ORO;
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;Lifer;Irish Red Ale;Irish Red Ale;BRONCE;
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;Lifer;Hazy IPA;Hazy IPA;BRONCE;
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;La Grulla;Specialty IPA;Specialty IPA;ORO;Chile Chico
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;La Grulla;Scottish Export;Scottish Export;BRONCE;Valdivia
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;La Grulla;La Grulla;Catharina Sour;BRONCE;Valdivia
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;La Grulla;American Stout;American Stout;BRONCE;Valdivia
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;Experimento 163A;Irish Stout;Irish Stout;BRONCE;Punta Arenas
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;Experimento 163A;David Riveros Strange;Doppelbock;ORO;Punta Arenas
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;Chaki Beer;Walichu;Strong Bitter;BRONCE;
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;CERVEZA REBELION;Brittish Golden Ale;Brittish Golden Ale;BRONCE;Chile Chico
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;CERVEZA REBELION;American Stout;American Stout;BRONCE;Chile Chico
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;Cerro Negro;International Dark Lager;International Dark Lager;PLATA;Coyaique
Copa Patagónica de Cervezas - Argentina;INTERNACIONAL;octubre 2025;Cerro Negro;American Amber ale;American Amber ale;BRONCE;Coyaique
